Yrf20cm(gC_m2),cc_0N,cc_NmT3,cc_NmT7,cc_NmT5,cc_NmT9
1958,5527.2,5527.2,5527.2,5527.2,5527.2
1984,5762.4,6468.0,6468.0,6526.8,6526.8
1990,5644.8,6144.6,6732.6,6497.4,6321.0

