Yrf20cm(gC_m2),cb_ct,cb_nt,ccc_ct,ccc_nt
1962,3700,3700,3700,3700
1971,3340,4070,3493,4230
1980,2370,3260,2805,3500
1992,2234,3673,3210,4250
